column_a,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
62,3DnYHzeul8cWJDEuTFd79H,0.494,0.341,C,-11.217,major,0.128,0.849,0,0.323,0.594,156.125,220760,4,C major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Sleigh Ride,"Harry Connick, Jr.",When My Heart Finds Christmas,https://i.scdn.co/image/a580849344a1b1531bbf86b2e042664f54d5b6b9
63,3DzYn4QDEQcyLMD1DQTbYw,0.346,0.802,B,-5.135,minor,0.133,0.143,0,0.207,0.624,179.547,169093,3,B minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,My Favorite Things,Kelly Clarkson,Wrapped In Red,https://i.scdn.co/image/df6a48dc94245be056b35262606c7adfd1821b99
64,3E6Ydoy1H8ePoigc10Mgsa,0.716,0.512,"C#",-6.257,major,0.0331,0.483,0,0.0928,0.326,104.957,165907,3,"C# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Snowman,Sia,Everyday Is Christmas,https://i.scdn.co/image/77eb7c17cafe550382e885d1873e9bb7de519e1e
65,3Fu6XvAT5yjzO8GMcvuM1s,0.719,0.504,B,-6.338,minor,0.0418,0.0601,0,0.256,0.81,75.514,127773,4,B minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Rockin' Around the Christmas Tree,Pentatonix,Christmas Is Here!,https://i.scdn.co/image/d95f2279ad49512299646dadf9e3e11c09c94c5e
66,3ILZNhiwZtZ3fVVI65WC6e,0.795,0.548,"D#",-8.072,major,0.199,0.163,0,0.0838,0.725,112.342,149200,4,"D# major",new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Lights On (feat. Ryan Beatty & Santigold),"Tyler, The Creator",Music Inspired by Illumination & Dr. Seuss' The Grinch,https://i.scdn.co/image/0d44bf5627754eaef0d7eda82afd1db895b81fd8
67,3kWmXwAtpnnllwkhGdBBPL,0.712,0.404,F,-15.16,major,0.0398,0.945,0.000483,0.107,0.469,59.874,153373,4,F major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,The Little Drummer Boy,Johnny Cash,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
68,3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,E,-16.661,major,0.0425,0.902,0.00104,0.145,0.58,94.519,129173,4,E major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Blue Christmas,Elvis Presley,Elvis' Christmas Album,https://i.scdn.co/image/d8ec333974abb5987719025a55a7395a22becb79
69,3sbIQ94CXH0Up1Xlg01Ay3,0.725,0.276,G,-12.25,major,0.0599,0.76,0,0.116,0.717,112.89,155933,4,G major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,Christmas Hits,https://i.scdn.co/image/939adaa29092810cc1c44965b5a5781e38ee7e65
70,3sDdyBHQ60Cs1opmIyRvhp,0.505,0.451,A,-10.193,minor,0.0329,0.727,0,0.233,0.744,74.347,156867,4,A minor,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,Happy Holiday / The Holiday Season,Andy Williams,The Andy Williams Christmas Album,https://i.scdn.co/image/a3e8629ce4030dc985bdffca9b1b854ac9c8dadf
71,3szI9hDVbyOYU0yd77G35n,0.499,0.545,B,-10.476,major,0.0366,0.822,0,0.187,0.634,110.545,160947,4,B major,new_holiday_songs,https://mosaic.scdn.co/640/5f79f928a45b878579e1fffc9e4aefb362ca53fd939adaa29092810cc1c44965b5a5781e38ee7e65d95f2279ad49512299646dadf9e3e11c09c94c5ee06f3ddadf59ee24504fc02bfe205945807a2437,A Marshmallow World,Dean Martin,The Dean Martin Christmas Album,https://i.scdn.co/image/61499b2028111eeec40cd0f22e867d3b27a3ca2d
